order number,activity,timestamp,user,product,quantity
1,register order,22-01-2014@09.00,Sue Fox,iPhone4S,1
1,check stock,22-01-2014@09.15,Sue Fox,iPhone5S,2
1,ship order,22-01-2014@09.21,Pete Scott,iPhone4S,3
2,register order,22-01-2014@09.00,Sara Jones,iPhone5S,3
2,check stock,22-01-2014@09.15,Pete Scott,iPhone5S,2
2,ship order,22-01-2014@09.35,Carol Hope,iPhone5S,1
2,handle payment,22-01-2014@09.48,Carol Hope,iPhone4S,2
3,register order,22-01-2014@09.00,Sue Fox,iPhone4S,1
3,check stock,22-01-2014@09.11,Sara Jones,iPhone5S,3
3,ship order,22-01-2014@09.30,Pete Scott,iPhone5S,2
3,handle payment,22-01-2014@09.35,Sara Jones,iPhone5S,2
4,register order,22-01-2014@09.00,Sue Fox,iPhone4S,3
4,check stock,22-01-2014@09.05,Sara Jones,iPhone4S,1
4,ship order,22-01-2014@09.17,Pete Scott,iPhone4S,1
4,handle payment,22-01-2014@09.29,Sara Jones,iPhone5S,2
5,register order,22-01-2014@09.00,Pete Scott,iPhone4S,1
5,check stock,22-01-2014@09.13,Pete Scott,iPhone5S,2
5,ship order,22-01-2014@09.21,Sue Fox,iPhone4S,1
5,handle payment,22-01-2014@09.26,Pete Scott,iPhone5S,2
6,register order,22-01-2014@09.00,Pete Scott,iPhone4S,2
6,check stock,22-01-2014@09.13,Sara Jones,iPhone5S,2
6,ship order,22-01-2014@09.18,Sue Fox,iPhone4S,1
6,handle payment,22-01-2014@09.34,Pete Scott,iPhone5S,2
7,check stock,22-01-2014@09.00,Pete Scott,iPhone5S,2
7,ship order,22-01-2014@09.13,Sue Fox,iPhone5S,1
7,handle payment,22-01-2014@09.21,Sara Jones,iPhone5S,3
8,register order,22-01-2014@09.00,Sara Jones,iPhone4S,1
8,check stock,22-01-2014@09.06,Carol Hope,iPhone4S,2
8,ship order,22-01-2014@09.26,Sue Fox,iPhone5S,3
8,handle payment,22-01-2014@09.37,Carol Hope,iPhone5S,1
9,register order,22-01-2014@09.00,Sue Fox,iPhone4S,1
9,check stock,22-01-2014@09.17,Sara Jones,iPhone5S,2
9,ship order,22-01-2014@09.34,Carol Hope,iPhone5S,1
9,handle payment,22-01-2014@09.44,Carol Hope,iPhone4S,3
10,register order,22-01-2014@09.00,Sue Fox,iPhone4S,3
10,check stock,22-01-2014@09.06,Sue Fox,iPhone5S,3
10,handle payment,22-01-2014@09.23,Pete Scott,iPhone4S,2
11,register order,22-01-2014@09.00,Carol Hope,iPhone5S,2
11,check stock,22-01-2014@09.14,Carol Hope,iPhone4S,1
11,ship order,22-01-2014@09.22,Sara Jones,iPhone4S,2
11,handle payment,22-01-2014@09.34,Sara Jones,iPhone5S,3
12,register order,22-01-2014@09.00,Carol Hope,iPhone4S,3
12,check stock,22-01-2014@09.20,Sue Fox,iPhone5S,1
12,ship order,22-01-2014@09.36,Pete Scott,iPhone5S,3
12,handle payment,22-01-2014@09.47,Sue Fox,iPhone5S,1
13,register order,22-01-2014@09.00,Carol Hope,iPhone5S,1
13,check stock,22-01-2014@09.09,Sara Jones,iPhone4S,2
13,ship order,22-01-2014@09.15,Carol Hope,iPhone4S,3
13,handle payment,22-01-2014@09.21,Sara Jones,iPhone5S,2
14,register order,22-01-2014@09.00,Carol Hope,iPhone5S,1
14,check stock,22-01-2014@09.06,Pete Scott,iPhone4S,1
14,ship order,22-01-2014@09.26,Carol Hope,iPhone5S,2
14,handle payment,22-01-2014@09.31,Pete Scott,iPhone5S,1
15,register order,22-01-2014@09.00,Sara Jones,iPhone4S,2
